SalesDate,StoreID,ProductID,StoreName,ProductName,Category,TotalQuantity,TotalSales,Ordercount
2026-09-15,2,102,Trivandrum Mall,Smartphone,Electronics,1,65000.0000,1
2026-09-19,6,109,Kottayam Central,Smart TV,Electronics,2,56000.0000,1
2026-09-17,2,106,Trivandrum Mall,Bluetooth Speaker,Audio,1,8500.0000,1
2026-09-15,1,101,Kochi Central,Laptop,Electronics,2,90000.0000,1
2026-09-16,3,103,Kozhikode City,Wireless Mouse,Accessories,3,4500.0000,1
2026-09-19,7,110,Alappuzha Store,Headphones,Audio,1,4200.0000,1
2026-09-16,1,104,Kochi Central,Mechanical Keyboard,Accessories,2,5000.0000,1
2026-09-18,3,108,Kozhikode City,Power Bank,Accessories,1,2200.0000,1
2026-09-18,5,107,Kollam Junction,Phone Charger,Accessories,2,2400.0000,1
2026-09-17,4,105,Thrissur Main,USB-C Hub,Accessories,5,17500.0000,1
